year,stFips,cropCd,yieldDev
1992,29,41,0.3149069795611878
1993,29,41,-0.2439474760292638
1994,29,41,0.11258213818346462
1995,29,41,-0.1192762294758603
1996,29,41,0.22650161323567317
1997,29,41,0.042187995201097936
1998,29,41,-0.002318495769223919
1999,29,41,-0.14630680848171979
2000,29,41,0.25353261792828774
2001,29,41,0.13930114301439642
2002,29,41,-0.1114816949464715
2003,29,41,-0.09712336473435723
2004,29,41,0.35138946916300495
2005,29,41,-0.10311177691162009
2006,29,41,0.11915538249537476
2007,29,41,0.09080234550513137
2008,29,41,0.10631623781883355
2009,29,41,0.19395886492497624
2010,29,41,-0.07226129938957085
2011,29,41,-0.1701927801656056
2012,29,41,-0.4684774708977235
2013,29,41,-0.007442653615466252
1980,30,41,-0.0601664206033543
1981,30,41,0.09952084226573148
1982,30,41,0.6559958389074946
1983,30,41,0.7289354683727094
1984,30,41,0.11720349382721654
1985,30,41,-0.1870716892490258
1986,30,41,0.10695930537480533
1987,30,41,0.06647351825128078
1988,30,41,0.2198485853305484
1989,30,41,-0.8149643837968084
1990,30,41,-0.4329261684385812
1991,30,41,-0.03126376861992638
1992,30,41,0.49074421258041206
1993,30,41,0.1566704332763827
1994,30,41,0.29616312869952255
1995,30,41,0.12288617552025165
1996,30,41,0.14376400333745631
1997,30,41,-0.08017926038660564
1998,30,41,-0.03696776722595556
1999,30,41,-0.18558327252285534
2000,30,41,-0.042279067441917804
2001,30,41,-0.2702165098334282
2002,30,41,-0.33552480035429516
2003,30,41,-0.19939722709945887
2004,30,41,-0.3234915817007619
2005,30,41,-0.17422086184427324
2006,30,41,-0.16556191808069842
2007,30,41,0.26587594114722335
2008,30,41,0.18244345597874168
2009,30,41,0.03197263544250573
2010,30,41,0.04762257409091726
2011,30,41,0.07868994533440486
2012,30,41,0.08516677787384846
2013,30,41,0.2079326458099799
1980,31,41,-0.2153679198359143
1981,31,41,0.06413528034321048
1982,31,41,0.0012204723104116293
1983,31,41,-0.14819206937243973
1984,31,41,0.027087654749600346
1985,31,41,0.13264768935691199
1986,31,41,0.11780210613481616
1987,31,41,0.11895185380883955
1988,31,41,0.04467588399787988
1989,31,41,-0.008169832021828699
1990,31,41,0.034812972748413315
1991,31,41,0.014024236418870554
1992,31,41,0.061933410590101046
1993,31,41,-0.20116191337739084
1994,31,41,0.06903733363426362
1995,31,41,-0.1560871365549589
1996,31,41,0.08041503724243784
1997,31,41,-0.021323322006096667
1998,31,41,0.06569920044782263
1999,31,41,0.0006691265633486484
2000,31,41,-0.1221090667924132
2001,31,41,0.020718374081145036
2002,31,41,-0.19804789573401088
2003,31,41,-0.01932524657966112
2004,31,41,0.11557615814673788
2005,31,41,0.02900804256230676
2006,31,41,-0.01149234772033769
2007,31,41,0.05105712728639318
2008,31,41,0.04981345972093258
2009,31,41,0.12731280848286985
2010,31,41,0.03862443246315562
2011,31,41,-0.0032814491772338965
2012,31,41,-0.1837966793798778
2013,31,41,0.018613030990477786
1980,37,41,-0.11539834119378863
1981,37,41,0.1165343692416765
1982,37,41,0.3861140201993219
1983,37,41,-0.22173933533942564
1984,37,41,0.2065989824887258
1985,37,41,0.030110232229253818
1986,37,41,-0.1599474194934334
1987,37,41,-0.15908012869328023
1988,37,41,0.021646578975591853
1989,37,41,0.1394308829403991
1990,37,41,-0.19359308035430345
1991,37,41,0.06397221485106303
1992,37,41,0.10320703343747532
1993,37,41,-0.3025648227605815
1994,37,41,0.016609054586400936
1995,37,41,0.14309187037737187
1996,37,41,0.027049686273409108
1997,37,41,-0.04651808185168519
1998,37,41,-0.2706712322744673
1999,37,41,-0.21782050657533078
2000,37,41,0.1475731834517705
2001,37,41,0.24057951445768816
2002,37,41,-0.20751845948535072
2003,37,41,0.05132727317564864
2004,37,41,0.12333166015338289
2005,37,41,0.17479036914741378
2006,37,41,0.2789253767897266
2007,37,41,-0.054700042910962816
2008,37,41,-0.27607327400742465
2009,37,41,0.06829215310122595
2010,37,41,-0.17688787606475653
2011,37,41,-0.23894006895446182
2012,37,41,0.06511688911799905
2013,37,41,0.25223798195603103
1980,38,41,-0.12351741010254566
1981,38,41,0.5343750410437799
1982,38,41,0.21254469207668455
1983,38,41,0.14213278557507703
1984,38,41,0.12457809173918473
1985,38,41,0.018973056892054817
1986,38,41,0.2885448542646418
1987,38,41,0.30871085495756906
1988,38,41,-0.4356821281011879
1989,38,41,-0.23040728781038286
1990,38,41,-0.2007924925073242
1991,38,41,-0.029652830207381013
1992,38,41,-0.3861157049464651
1993,38,41,-0.6614424813635409
1994,38,41,0.04098014452015957
1995,38,41,-0.14792743019685434
1996,38,41,0.036664427354541264
1997,38,41,0.027211324045336042
1998,38,41,0.20414556310411916
1999,38,41,0.22416696815795928
2000,38,41,0.19173372655288912
2001,38,41,0.1019955061010586
2002,38,41,0.06885044364281859
2003,38,41,0.015936248912037505
2004,38,41,-0.26789266117484195
2005,38,41,0.16415816534659547
2006,38,41,-0.05185620150533611
2007,38,41,0.06850420445798142
2008,38,41,0.09293242592112189
2009,38,41,-0.02279186973091429
2010,38,41,0.12415240264271135
2011,38,41,-0.12109928468871767
2012,38,41,0.037332143281046566
2013,38,41,-0.11108851780247278
1980,39,41,0.13556095717069117
1981,39,41,-0.07774283796522248
1982,39,41,0.09953575455911919
1983,39,41,-0.26231198009008994
1984,39,41,0.10583122867215713
1985,39,41,0.18099635942009712
1986,39,41,0.17780891432358215
1987,39,41,0.07001263529291214
1988,39,41,-0.2781093825558526
1989,39,41,-0.013362667924544823
1990,39,41,0.021739470174270054
1991,39,41,-0.21316016122047232
1992,39,41,0.1738645315573678
1993,39,41,-0.10745357288686257
1994,39,41,0.12202280088983612
